id,question_en,question_te,option_a_en,option_a_te,option_b_en,option_b_te,option_c_en,option_c_te,option_d_en,option_d_te,correct_option
1,What is lane width in 400m track?,400మీ ట్రాక్లో లేన్ వెడల్పు ఎంత?,1.10 m,1.10 మీటర్లు,1.20 m,1.20 మీటర్లు,1.22 m,1.22 మీటర్లు,1.25 m,1.25 మీటర్లు,C
2,Which is not part of heptathlon?,హెప్టాథ్లాన్లో భాగం కానిది ఏది?,100m sprint,100మీ పరుగుపందెం,High jump,ఎత్తు దూకుడు,Javelin throw,జావెలిన్ త్రో,100m hurdles,100మీ అడ్డంకి పందెం,A
3,Beyond which distance races are not run in lanes?,ఏ దూరం తర్వాత లేన్లలో పరుగులు తీయరు?,200m,200మీ,400m,400మీ,800m,800మీ,1500m,1500మీ,C
4,Can a hurdle be knocked down unintentionally?,హర్డిల్ అనుకోకుండా పడిపోతే అనుమతించబడుతుందా?,Yes,అవును,No,కాదు,Only one,ఒక్కటి మాత్రమే,Not allowed,అనుమతి లేదు,A
5,Number of hurdles in 3000m steeplechase?,3000మీ స్టీపుల్చేస్లో హర్డిల్స్ సంఖ్య ఎంత?,24,24,28,28,30,30,36,36,B
6,Maximum weight of relay baton?,రిలే బాటన్ గరిష్ట బరువు ఎంత?,50g,50 గ్రాములు,60g,60 గ్రాములు,75g,75 గ్రాములు,80g,80 గ్రాములు,A
7,Athletics is combination of?,అథ్లెటిక్స్ కలయిక ఏమిటి?,Running + Locomotion,పరుగులు + కదలికలు,Running + Jumping,పరుగులు + దూకుడు,Running + Flying,పరుగులు + ఎగరడం,Running + Cruising,పరుగులు + సులభ కదలిక,B
8,Passing zone length in relay?,రిలేలో పాసింగ్ జోన్ పొడవు ఎంత?,30m,30 మీటర్లు,25m,25 మీటర్లు,20m,20 మీటర్లు,15m,15 మీటర్లు,C
9,Maximum wind speed allowed?,రికార్డులకు గాలి గరిష్ట వేగం ఎంత?,1 m/s,1 మీ/సెకను,2 m/s,2 మీ/సెకను,3 m/s,3 మీ/సెకను,4 m/s,4 మీ/సెకను,B
10,Half time in basketball?,బాస్కెట్బాల్ హాఫ్ టైమ్ ఎంత?,10 min,10 నిమిషాలు,15 min,15 నిమిషాలు,20 min,20 నిమిషాలు,5 min,5 నిమిషాలు,B
11,Who communicates with referee?,రిఫరీతో ఎవరు మాట్లాడతారు?,Manager,మేనేజర్,Captain,కెప్టెన్,Coach,కోచ్,Player,ప్లేయర్,B
12,Technical foul is given for?,టెక్నికల్ ఫౌల్ కారణం ఏమిటి?,Misconduct,తప్పు ప్రవర్తన,Collision,ఢీకొనడం,Touch,స్పర్శ,Speed,వేగం,A
13,Free throw time?,ఫ్రీ త్రో సమయం ఎంత?,10 sec,10 సెకండ్లు,7 sec,7 సెకండ్లు,5 sec,5 సెకండ్లు,3 sec,3 సెకండ్లు,C
14,Cricket less popular country?,క్రికెట్ తక్కువగా ఆడే దేశం ఏది?,West Indies,వెస్ట్ ఇండీస్,Germany,జర్మనీ,New Zealand,న్యూజిలాండ్,England,ఇంగ్లాండ్,B
